pos_words,pos_counts,neg_words,neg_counts,neu_words,neu_counts
climate,6836,climate,8951,climate,7470
change,6665,change,8759,change,7425
global,3524,global,2110,trump,1031
warm,3472,warm,1938,say,574
trump,857,trump,1526,global,468
amp,636,fight,765,believe,427
say,598,think,728,amp,391
like,522,say,692,people,342
us,492,believe,672,new,328
believe,471,amp,611,go,320
real,464,shes,607,warm,302
make,420,go,594,us,289
dont,392,doesnt,551,real,284
new,390,deny,487,doesnt,264
help,375,us,472,world,259
need,365,die,459,take,224
energy,362,world,438,impact,218
world,310,people,384,epa,218
people,308,make,378,talk,211
fight,298,real,368,time,209
get,292,epa,364,need,207
cause,292,hoax,348,think,201
think,289,cause,334,make,199
great,283,dont,332,scientists,199
good,281,new,328,know,198
go,277,scientists,322,action,196
paris,275,stop,314,science,190
take,269,husband,301,cause,185
science,256,get,298,sensanders,174
action,249,stephenschlegel,298,millions,165
scientists,248,threat,297,get,161
know,241,donald,290,could,160
agreement,237,science,284,dont,159
talk,237,one,271,use,155
could,227,could,269,yo,155
save,227,risk,256,study,145
thank,220,know,243,fight,144
isnt,220,call,238,tackle,142
one,216,take,231,call,141
want,216,deniers,231,one,137
right,212,time,228,years,131
time,209,denier,228,right,130
earth,202,warn,227,donald,125
care,197,want,223,effect,123
issue,197,need,215,issue,121
china,192,blame,205,want,118
doesnt,185,combat,199,like,118
look,184,talk,197,news,117
well,180,right,196,come,114
would,180,president,196,lead,114
call,177,planet,194,affect,114
see,176,like,189,look,114
support,176,report,188,weather,113
create,172,weather,183,show,112
protect,170,due,183,report,110
epa,169,scott,183,president,109
impact,168,pruitt,183,may,108
hoax,167,action,180,tell,107
weather,166,see,179,due,106
tackle,165,ignore,178,discuss,106
study,164,news,171,act,105
im,162,tell,170,climatechange,105
use,161,impact,169,isnt,103
tell,160,im,167,state,103
best,159,isnt,166,plan,99
carbon,159,may,166,un,96
must,155,must,163,obama,96
state,154,issue,163,address,96
news,153,kill,163,cnn,96
work,149,lead,162,see,96
show,147,worse,161,debate,93
today,147,would,159,link,93
come,146,war,156,heres,92
find,145,still,154,meet,91
clean,144,future,153,today,91
effect,143,effect,150,website,91
give,143,even,150,future,88
years,141,china,149,carbon,88
may,140,years,147,health,88
still,140,plan,147,sign,88
stop,139,head,145,first,87
planet,137,threaten,145,paris,86
realdonaldtrump,136,problem,142,research,85
president,135,study,140,would,84
plan,132,destroy,138,thehill,84
hope,129,realdonaldtrump,135,scott,84
please,128,bad,135,work,83
address,126,let,135,must,83
join,125,earth,134,policy,83
thing,125,come,133,back,83
security,125,fuck,131,human,82
let,123,obama,131,denial,82
challenge,121,carbon,129,pruitt,82
also,121,state,128,national,81
donald,117,country,127,combat,81
really,115,sensanders,127,ice,81
deal,114,lose,125,leaders,80
environment,113,really,123,watch,79
year,113,worry,123,deal,79
way,112,wrong,122,environment,78
